event,kind,t,agent,partner,partner_diet,memory_buffer_diet_source_t
156,conv,13783,646,205.0,meat,"[[""veg"", 1471, 0], [""veg"", 1471, 0], [""meat"", 75, 0], [""meat"", 205, 1450], [""veg"", 1471, 10628], [""veg"", 385, 11593], [""meat"", 205, 11792], [""veg"", 634, 13572], [""meat"", 205, 13783]]"
157,conv,14045,414,313.0,veg,"[[""meat"", 1256, 0], [""veg"", 10, 0], [""meat"", 313, 0], [""meat"", 139, 0], [""veg"", 10, 0], [""meat"", 1256, 0], [""meat"", 313, 0], [""veg"", 10, 0], [""veg"", 313, 14045]]"
158,rev,14193,1169,,,
159,conv,14451,1575,1286.0,meat,"[[""veg"", 251, 0], [""meat"", 1286, 0], [""meat"", 1286, 348], [""meat"", 1286, 2878], [""veg"", 251, 5147], [""meat"", 1286, 10129], [""meat"", 251, 12498], [""meat"", 691, 13699], [""meat"", 1286, 14451]]"
160,rev,14473,1575,,,
161,conv,14498,1865,634.0,veg,"[[""veg"", 1471, 0], [""meat"", 1691, 0], [""veg"", 1471, 0], [""meat"", 1691, 0], [""meat"", 75, 0], [""meat"", 1691, 0], [""meat"", 1691, 0], [""veg"", 1471, 4607], [""veg"", 634, 14498]]"
162,conv,14526,579,591.0,veg,"[[""meat"", 290, 0], [""meat"", 256, 0], [""meat"", 256, 0], [""meat"", 53, 0], [""meat"", 290, 0], [""meat"", 1222, 0], [""meat"", 53, 39], [""meat"", 7, 8651], [""veg"", 591, 14526]]"
163,conv,14609,1169,10.0,veg,"[[""veg"", 10, 0], [""meat"", 113, 0], [""veg"", 10, 1107], [""veg"", 10, 3704], [""meat"", 732, 5430], [""veg"", 10, 8450], [""veg"", 10, 11813], [""veg"", 10, 14193], [""veg"", 10, 14609]]"
164,rev,14665,1614,,,
165,conv,14779,559,508.0,veg,"[[""meat"", 834, 0], [""veg"", 508, 217], [""veg"", 508, 482], [""meat"", 29, 3549], [""meat"", 72, 3931], [""veg"", 508, 9955], [""veg"", 508, 10318], [""meat"", 168, 12730], [""veg"", 508, 14779]]"
166,conv,14882,1022,185.0,veg,"[[""meat"", 1323, 0], [""meat"", 15, 0], [""veg"", 185, 0], [""meat"", 784, 0], [""meat"", 1323, 0], [""veg"", 185, 813], [""meat"", 1333, 5344], [""meat"", 784, 7780], [""veg"", 185, 14882]]"
167,rev,14905,634,,,
168,rev,15044,1409,,,
169,conv,15065,1978,623.0,veg,"[[""meat"", 175, 0], [""veg"", 623, 0], [""veg"", 623, 0], [""meat"", 1, 0], [""meat"", 1, 0], [""meat"", 175, 0], [""meat"", 97, 4597], [""meat"", 175, 7626], [""veg"", 623, 15065]]"
170,conv,15110,1119,44.0,meat,"[[""meat"", 66, 0], [""meat"", 44, 0], [""meat"", 44, 0], [""meat"", 44, 0], [""meat"", 66, 0], [""meat"", 66, 0], [""meat"", 996, 0], [""meat"", 72, 13878], [""meat"", 44, 15110]]"
171,conv,15142,1839,69.0,veg,"[[""veg"", 69, 0], [""meat"", 551, 0], [""veg"", 69, 0], [""meat"", 1327, 0], [""meat"", 551, 0], [""meat"", 551, 0], [""meat"", 551, 7661], [""meat"", 551, 11250], [""veg"", 69, 15142]]"
172,conv,15280,1690,115.0,veg,"[[""meat"", 4, 0], [""veg"", 115, 0], [""meat"", 1287, 0], [""veg"", 115, 0], [""meat"", 1287, 2653], [""meat"", 549, 4949], [""veg"", 115, 8420], [""meat"", 4, 10317], [""veg"", 115, 15280]]"
173,conv,15508,1267,1308.0,veg,"[[""meat"", 587, 0], [""meat"", 587, 0], [""meat"", 1308, 0], [""meat"", 5, 0], [""meat"", 1308, 193], [""meat"", 1126, 1758], [""meat"", 587, 9575], [""meat"", 587, 10326], [""veg"", 1308, 15508]]"
174,conv,15515,317,970.0,veg,"[[""meat"", 243, 0], [""veg"", 970, 0], [""meat"", 243, 0], [""meat"", 136, 0], [""veg"", 452, 0], [""meat"", 243, 3969], [""meat"", 88, 10525], [""veg"", 1986, 10627], [""veg"", 970, 15515]]"
175,conv,15582,1559,620.0,veg,"[[""veg"", 620, 0], [""veg"", 620, 0], [""meat"", 20, 0], [""meat"", 225, 0], [""meat"", 1937, 3788], [""meat"", 20, 6891], [""veg"", 1937, 11922], [""meat"", 315, 11959], [""veg"", 620, 15582]]"
176,conv,15589,1362,885.0,meat,"[[""veg"", 606, 0], [""meat"", 692, 0], [""meat"", 692, 308], [""meat"", 64, 1933], [""veg"", 606, 3033], [""meat"", 692, 4238], [""veg"", 606, 6842], [""meat"", 885, 7384], [""meat"", 885, 15589]]"
177,conv,15657,1625,251.0,meat,"[[""veg"", 1803, 0], [""veg"", 251, 0], [""meat"", 1448, 0], [""veg"", 251, 0], [""meat"", 354, 0], [""meat"", 1448, 0], [""veg"", 210, 0], [""meat"", 1448, 0], [""meat"", 251, 15657]]"
178,conv,15915,807,1482.0,meat,"[[""veg"", 1442, 0], [""meat"", 1482, 0], [""meat"", 616, 0], [""meat"", 616, 151], [""meat"", 616, 8625], [""veg"", 1442, 8860], [""veg"", 1442, 11708], [""veg"", 38, 13492], [""meat"", 1482, 15915]]"
179,conv,16000,1231,625.0,veg,"[[""meat"", 1922, 0], [""meat"", 958, 0], [""meat"", 1922, 0], [""veg"", 966, 0], [""veg"", 966, 0], [""meat"", 1998, 8749], [""meat"", 1922, 14267], [""meat"", 320, 15944], [""veg"", 625, 16000]]"
180,rev,16113,374,,,
181,conv,16218,1489,10.0,veg,"[[""veg"", 10, 0], [""veg"", 10, 0], [""meat"", 1177, 0], [""meat"", 59, 0], [""meat"", 59, 1278], [""meat"", 1131, 1946], [""veg"", 10, 6565], [""meat"", 1131, 14893], [""veg"", 10, 16218]]"
182,rev,16356,1716,,,
183,rev,16373,559,,,
184,conv,16476,1500,422.0,meat,"[[""meat"", 22, 0], [""meat"", 198, 0], [""meat"", 394, 0], [""meat"", 394, 0], [""meat"", 22, 1979], [""meat"", 198, 3642], [""meat"", 22, 5409], [""meat"", 198, 6116], [""meat"", 422, 16476]]"
185,conv,16537,1160,615.0,meat,"[[""meat"", 512, 0], [""meat"", 512, 0], [""meat"", 512, 0], [""meat"", 665, 0], [""meat"", 512, 0], [""meat"", 512, 0], [""meat"", 665, 5359], [""veg"", 512, 16390], [""meat"", 615, 16537]]"
186,rev,16554,1187,,,
187,conv,16617,1423,261.0,veg,"[[""meat"", 989, 0], [""meat"", 955, 0], [""meat"", 955, 0], [""veg"", 331, 0], [""veg"", 331, 1050], [""meat"", 955, 6727], [""veg"", 331, 14088], [""meat"", 989, 14527], [""veg"", 261, 16617]]"
188,rev,16767,1169,,,
189,rev,16870,195,,,
190,rev,16997,331,,,
191,rev,17033,836,,,
192,conv,17044,1621,1446.0,veg,"[[""meat"", 1842, 0], [""meat"", 352, 0], [""veg"", 1446, 0], [""meat"", 1842, 749], [""veg"", 1446, 2629], [""meat"", 352, 13000], [""meat"", 1842, 15547], [""veg"", 1446, 16252], [""veg"", 1446, 17044]]"
193,rev,17158,1022,,,
194,conv,17177,659,322.0,veg,"[[""meat"", 1681, 0], [""meat"", 964, 0], [""veg"", 322, 0], [""meat"", 1013, 0], [""meat"", 1013, 1845], [""meat"", 1681, 8134], [""meat"", 157, 8379], [""veg"", 1725, 11626], [""veg"", 322, 17177]]"
195,conv,17223,64,1275.0,meat,"[[""veg"", 23, 0], [""meat"", 122, 0], [""veg"", 23, 0], [""meat"", 369, 1823], [""meat"", 369, 7230], [""veg"", 145, 8755], [""meat"", 524, 9860], [""meat"", 1275, 10977], [""meat"", 1275, 17223]]"
196,rev,17268,1565,,,
197,conv,17318,1599,1215.0,veg,"[[""veg"", 1215, 0], [""veg"", 10, 0], [""veg"", 1215, 0], [""meat"", 705, 0], [""veg"", 177, 0], [""veg"", 177, 0], [""veg"", 177, 1539], [""veg"", 1215, 11337], [""veg"", 1215, 17318]]"
198,conv,17352,1893,183.0,meat,"[[""meat"", 617, 0], [""meat"", 1155, 0], [""meat"", 1155, 542], [""veg"", 1155, 7567], [""meat"", 1304, 9523], [""meat"", 1304, 9946], [""meat"", 617, 12151], [""meat"", 1304, 15973], [""meat"", 183, 17352]]"
199,rev,17370,1961,,,
200,conv,17505,1380,149.0,meat,"[[""meat"", 149, 0], [""meat"", 149, 0], [""meat"", 149, 0], [""meat"", 149, 0], [""meat"", 768, 0], [""meat"", 768, 953], [""meat"", 768, 12511], [""meat"", 113, 15011], [""meat"", 149, 17505]]"
201,conv,17526,287,11.0,veg,"[[""meat"", 20, 0], [""meat"", 1838, 1531], [""meat"", 27, 3390], [""veg"", 11, 5808], [""veg"", 11, 5886], [""meat"", 27, 11227], [""veg"", 11, 11715], [""meat"", 27, 11916], [""veg"", 11, 17526]]"
202,conv,17612,1169,10.0,veg,"[[""veg"", 10, 1107], [""veg"", 10, 3704], [""meat"", 732, 5430], [""veg"", 10, 8450], [""veg"", 10, 11813], [""veg"", 10, 14193], [""veg"", 10, 14609], [""meat"", 1469, 16767], [""veg"", 10, 17612]]"
203,rev,17638,1358,,,
204,conv,17663,1561,531.0,meat,"[[""meat"", 1094, 0], [""meat"", 218, 0], [""meat"", 531, 1843], [""veg"", 620, 4652], [""veg"", 620, 7485], [""meat"", 531, 10863], [""meat"", 1094, 16332], [""veg"", 620, 16493], [""meat"", 531, 17663]]"
205,conv,17709,1583,2.0,meat,"[[""meat"", 4, 0], [""meat"", 282, 0], [""meat"", 4, 0], [""meat"", 1505, 0], [""meat"", 1505, 0], [""meat"", 2, 0], [""meat"", 1505, 0], [""meat"", 2, 0], [""meat"", 2, 17709]]"
206,conv,17768,1907,10.0,veg,"[[""meat"", 1044, 0], [""meat"", 472, 0], [""meat"", 472, 0], [""meat"", 1044, 0], [""meat"", 472, 0], [""veg"", 10, 0], [""veg"", 1551, 0], [""meat"", 472, 7988], [""veg"", 10, 17768]]"
207,rev,17889,646,,,
208,rev,18072,1803,,,
209,conv,18085,734,684.0,veg,"[[""meat"", 78, 0], [""meat"", 102, 0], [""meat"", 59, 0], [""veg"", 684, 1320], [""meat"", 59, 3036], [""meat"", 102, 6226], [""veg"", 684, 9369], [""veg"", 519, 13660], [""veg"", 684, 18085]]"
210,conv,18100,83,438.0,veg,"[[""meat"", 747, 0], [""meat"", 1090, 0], [""meat"", 707, 0], [""veg"", 907, 0], [""meat"", 1605, 0], [""veg"", 438, 6214], [""meat"", 1090, 14713], [""veg"", 907, 15005], [""veg"", 438, 18100]]"
211,conv,18129,1993,453.0,veg,"[[""meat"", 1271, 0], [""meat"", 306, 0], [""veg"", 453, 0], [""meat"", 306, 0], [""meat"", 1704, 0], [""meat"", 1271, 272], [""meat"", 306, 6307], [""veg"", 453, 12756], [""veg"", 453, 18129]]"
212,conv,18307,225,1937.0,veg,"[[""meat"", 622, 476], [""meat"", 794, 2672], [""meat"", 1559, 4278], [""veg"", 115, 4401], [""meat"", 174, 10650], [""meat"", 174, 13057], [""meat"", 24, 13890], [""veg"", 1160, 17376], [""veg"", 1937, 18307]]"
213,conv,18330,254,383.0,meat,"[[""meat"", 735, 0], [""meat"", 305, 0], [""meat"", 327, 1545], [""veg"", 1519, 7767], [""meat"", 935, 9353], [""veg"", 11, 9371], [""veg"", 1446, 11222], [""veg"", 595, 18292], [""meat"", 383, 18330]]"
214,rev,18366,1500,,,
215,rev,18791,287,,,
216,conv,19000,1791,63.0,veg,"[[""veg"", 316, 0], [""meat"", 786, 0], [""meat"", 73, 0], [""meat"", 786, 0], [""veg"", 316, 0], [""meat"", 73, 0], [""meat"", 73, 0], [""meat"", 786, 2807], [""veg"", 63, 19000]]"
217,conv,19189,1518,902.0,veg,"[[""meat"", 902, 0], [""meat"", 757, 0], [""meat"", 757, 0], [""meat"", 757, 1605], [""veg"", 902, 6751], [""meat"", 611, 7128], [""veg"", 902, 16370], [""meat"", 757, 17028], [""veg"", 902, 19189]]"
218,conv,19297,1732,23.0,veg,"[[""meat"", 702, 0], [""meat"", 885, 0], [""meat"", 885, 0], [""veg"", 23, 0], [""veg"", 23, 2549], [""veg"", 23, 5176], [""meat"", 702, 12643], [""meat"", 702, 16898], [""veg"", 23, 19297]]"
219,conv,19624,92,210.0,veg,"[[""meat"", 1122, 0], [""meat"", 1143, 0], [""meat"", 600, 0], [""meat"", 1122, 0], [""meat"", 112, 0], [""meat"", 252, 0], [""meat"", 73, 5672], [""meat"", 1122, 5833], [""veg"", 210, 19624]]"
220,conv,19747,1973,1192.0,meat,"[[""meat"", 140, 1242], [""meat"", 1099, 1737], [""meat"", 1192, 3274], [""meat"", 1192, 5045], [""meat"", 1099, 6193], [""meat"", 140, 9967], [""meat"", 1192, 10636], [""meat"", 312, 17367], [""meat"", 1192, 19747]]"
221,conv,19969,473,335.0,meat,"[[""meat"", 335, 0], [""meat"", 767, 0], [""meat"", 95, 1176], [""meat"", 767, 4907], [""meat"", 767, 8545], [""meat"", 85, 12531], [""meat"", 95, 16562], [""meat"", 85, 16618], [""meat"", 335, 19969]]"
222,conv,20045,1809,330.0,meat,"[[""meat"", 330, 602], [""veg"", 433, 836], [""veg"", 433, 4275], [""meat"", 330, 4707], [""meat"", 125, 5827], [""meat"", 330, 10398], [""veg"", 433, 10630], [""meat"", 125, 19608], [""meat"", 330, 20045]]"
223,rev,20046,649,,,
224,rev,20088,1993,,,
225,rev,20223,653,,,
226,conv,20236,646,385.0,veg,"[[""meat"", 75, 0], [""meat"", 205, 1450], [""veg"", 1471, 10628], [""veg"", 385, 11593], [""meat"", 205, 11792], [""veg"", 634, 13572], [""meat"", 205, 13783], [""veg"", 1471, 17889], [""veg"", 385, 20236]]"
227,rev,20509,240,,,
228,rev,20653,317,,,
229,rev,20681,932,,,
230,conv,20709,1720,178.0,veg,"[[""meat"", 1735, 0], [""veg"", 178, 0], [""meat"", 1082, 0], [""meat"", 1735, 0], [""veg"", 178, 0], [""veg"", 178, 2860], [""meat"", 1662, 9282], [""meat"", 1082, 16542], [""veg"", 178, 20709]]"
231,conv,20735,1768,640.0,veg,"[[""meat"", 188, 0], [""veg"", 640, 1471], [""meat"", 136, 2378], [""veg"", 640, 4708], [""meat"", 136, 5912], [""meat"", 613, 9961], [""meat"", 613, 10487], [""veg"", 640, 14789], [""veg"", 640, 20735]]"
232,rev,20776,1893,,,
233,rev,20973,579,,,
234,rev,20983,1599,,,
235,conv,21015,251,1747.0,meat,"[[""meat"", 1608, 0], [""meat"", 1625, 5451], [""meat"", 162, 5995], [""meat"", 24, 8452], [""meat"", 24, 9476], [""meat"", 24, 10557], [""meat"", 354, 11273], [""veg"", 115, 18086], [""meat"", 1747, 21015]]"
236,rev,21107,1987,,,
237,rev,21336,902,,,
238,conv,21481,1677,42.0,meat,"[[""meat"", 1427, 2290], [""meat"", 42, 3625], [""meat"", 42, 6639], [""veg"", 754, 7116], [""meat"", 1427, 9145], [""meat"", 42, 9940], [""meat"", 42, 10153], [""veg"", 754, 16487], [""meat"", 42, 21481]]"
239,conv,21880,1409,115.0,veg,"[[""meat"", 695, 0], [""veg"", 23, 0], [""veg"", 38, 0], [""veg"", 23, 443], [""meat"", 695, 2879], [""meat"", 1841, 4532], [""veg"", 23, 5360], [""veg"", 23, 15044], [""veg"", 115, 21880]]"
240,conv,21949,913,1463.0,meat,"[[""veg"", 115, 0], [""veg"", 818, 0], [""meat"", 1463, 0], [""veg"", 818, 10303], [""meat"", 1087, 11296], [""meat"", 1463, 17744], [""meat"", 1463, 20295], [""meat"", 1463, 21219], [""meat"", 1463, 21949]]"
241,rev,21984,1489,,,
242,conv,22080,1716,1445.0,veg,"[[""meat"", 1445, 0], [""meat"", 114, 0], [""meat"", 1445, 0], [""meat"", 1445, 642], [""meat"", 114, 1826], [""veg"", 508, 3603], [""meat"", 114, 5521], [""veg"", 508, 16356], [""veg"", 1445, 22080]]"
243,rev,22140,1308,,,
244,conv,22229,653,23.0,veg,"[[""veg"", 121, 3964], [""meat"", 1309, 5077], [""meat"", 9, 5204], [""veg"", 121, 5929], [""meat"", 9, 10376], [""veg"", 121, 11911], [""veg"", 121, 20223], [""meat"", 4, 21543], [""veg"", 23, 22229]]"
245,conv,22361,240,162.0,meat,"[[""veg"", 803, 3047], [""meat"", 24, 4488], [""veg"", 803, 9827], [""veg"", 115, 14292], [""veg"", 115, 18956], [""meat"", 859, 20011], [""veg"", 803, 20149], [""veg"", 115, 20509], [""meat"", 162, 22361]]"
246,rev,22418,1555,,,
247,conv,22493,1651,27.0,meat,"[[""meat"", 90, 0], [""meat"", 90, 0], [""meat"", 669, 0], [""meat"", 90, 0], [""meat"", 27, 0], [""meat"", 669, 0], [""meat"", 27, 0], [""meat"", 669, 8148], [""meat"", 27, 22493]]"
248,rev,22581,380,,,
249,rev,22674,92,,,
250,conv,22734,927,595.0,veg,"[[""meat"", 595, 0], [""meat"", 595, 0], [""meat"", 0, 3384], [""veg"", 595, 3920], [""veg"", 11, 8082], [""meat"", 1807, 17866], [""meat"", 1807, 19317], [""veg"", 595, 20923], [""veg"", 595, 22734]]"
251,conv,22793,849,38.0,veg,"[[""meat"", 419, 0], [""veg"", 38, 5652], [""meat"", 419, 7654], [""meat"", 201, 8005], [""veg"", 38, 12841], [""meat"", 530, 16469], [""meat"", 530, 16832], [""veg"", 38, 22210], [""veg"", 38, 22793]]"
252,rev,23038,1119,,,
253,conv,23103,1022,314.0,meat,"[[""meat"", 1323, 0], [""veg"", 185, 813], [""meat"", 1333, 5344], [""meat"", 784, 7780], [""veg"", 185, 14882], [""meat"", 784, 17158], [""veg"", 185, 19873], [""veg"", 185, 20004], [""meat"", 314, 23103]]"
254,rev,23139,527,,,
255,conv,23466,1859,63.0,veg,"[[""meat"", 54, 5149], [""veg"", 63, 7354], [""meat"", 8, 11376], [""meat"", 54, 11851], [""meat"", 54, 12238], [""veg"", 63, 15304], [""meat"", 8, 19041], [""veg"", 63, 22270], [""veg"", 63, 23466]]"
256,conv,23482,195,57.0,meat,"[[""meat"", 1344, 0], [""meat"", 232, 0], [""meat"", 1344, 0], [""veg"", 10, 0], [""veg"", 185, 0], [""meat"", 232, 6364], [""veg"", 10, 10279], [""meat"", 1294, 16870], [""meat"", 57, 23482]]"
257,conv,23488,334,156.0,veg,"[[""veg"", 156, 0], [""veg"", 156, 0], [""veg"", 257, 0], [""meat"", 415, 3467], [""meat"", 1311, 9356], [""meat"", 52, 12845], [""meat"", 52, 17404], [""meat"", 1311, 17770], [""veg"", 156, 23488]]"
258,conv,23736,1922,1231.0,veg,"[[""meat"", 96, 0], [""meat"", 1231, 0], [""meat"", 1107, 0], [""meat"", 1107, 0], [""meat"", 1231, 1807], [""meat"", 1107, 15886], [""meat"", 1107, 21037], [""veg"", 1231, 23448], [""veg"", 1231, 23736]]"
259,rev,23924,1835,,,
260,rev,24204,291,,,
261,rev,24436,1988,,,
262,rev,24614,1973,,,
263,rev,24699,512,,,
264,conv,24703,1899,640.0,veg,"[[""veg"", 640, 0], [""meat"", 1080, 11318], [""veg"", 640, 12176], [""veg"", 640, 14202], [""meat"", 1080, 16888], [""meat"", 1010, 17188], [""meat"", 4, 17693], [""meat"", 1080, 18831], [""veg"", 640, 24703]]"
265,conv,24886,846,708.0,meat,"[[""meat"", 275, 3943], [""meat"", 42, 4226], [""meat"", 166, 4801], [""meat"", 166, 5257], [""meat"", 166, 5923], [""meat"", 708, 14105], [""veg"", 275, 18332], [""meat"", 42, 19322], [""meat"", 708, 24886]]"
266,rev,25083,1253,,,
267,rev,25285,1720,,,
268,rev,25368,1022,,,
269,rev,25569,1296,,,
270,rev,25703,254,,,
271,conv,25804,1961,112.0,meat,"[[""meat"", 469, 0], [""meat"", 469, 0], [""meat"", 1145, 0], [""meat"", 1145, 7024], [""meat"", 1145, 8126], [""meat"", 469, 14091], [""meat"", 112, 17370], [""meat"", 469, 18934], [""meat"", 112, 25804]]"
272,conv,25812,93,503.0,meat,"[[""meat"", 376, 3247], [""meat"", 376, 4740], [""meat"", 1199, 8248], [""meat"", 575, 11605], [""meat"", 575, 13493], [""veg"", 1174, 18709], [""meat"", 193, 19926], [""veg"", 322, 21545], [""meat"", 503, 25812]]"
273,conv,25960,254,0.0,meat,"[[""veg"", 1519, 7767], [""meat"", 935, 9353], [""veg"", 11, 9371], [""veg"", 1446, 11222], [""veg"", 595, 18292], [""meat"", 383, 18330], [""meat"", 255, 21577], [""meat"", 1240, 25703], [""meat"", 0, 25960]]"
274,conv,26066,448,251.0,veg,"[[""veg"", 251, 0], [""meat"", 86, 0], [""meat"", 86, 0], [""meat"", 86, 0], [""meat"", 889, 0], [""meat"", 0, 0], [""meat"", 21, 14147], [""veg"", 251, 23146], [""veg"", 251, 26066]]"
275,conv,26185,287,27.0,meat,"[[""veg"", 11, 5808], [""veg"", 11, 5886], [""meat"", 27, 11227], [""veg"", 11, 11715], [""meat"", 27, 11916], [""veg"", 11, 17526], [""meat"", 1838, 18791], [""meat"", 233, 20085], [""meat"", 27, 26185]]"
276,rev,26222,1732,,,
277,rev,26381,1056,,,
278,conv,26384,1842,1446.0,veg,"[[""veg"", 1446, 0], [""meat"", 80, 0], [""meat"", 470, 0], [""meat"", 470, 0], [""meat"", 470, 0], [""meat"", 1621, 15646], [""veg"", 1446, 18359], [""veg"", 1621, 18636], [""veg"", 1446, 26384]]"
279,conv,26435,1736,482.0,meat,"[[""meat"", 482, 0], [""meat"", 482, 232], [""meat"", 1206, 10036], [""meat"", 1132, 12031], [""meat"", 1132, 12718], [""meat"", 1206, 20836], [""meat"", 1132, 23364], [""meat"", 234, 26000], [""meat"", 482, 26435]]"
280,rev,26449,1169,,,
281,rev,26543,251,,,
282,conv,26697,1035,213.0,meat,"[[""meat"", 213, 0], [""veg"", 63, 0], [""meat"", 8, 0], [""veg"", 63, 12310], [""meat"", 213, 20189], [""veg"", 63, 20370], [""meat"", 90, 22995], [""meat"", 1967, 24621], [""meat"", 213, 26697]]"
283,rev,26732,591,,,
284,conv,26765,1835,107.0,meat,"[[""meat"", 107, 0], [""veg"", 156, 0], [""veg"", 156, 7130], [""veg"", 156, 9517], [""veg"", 156, 10995], [""meat"", 669, 12561], [""meat"", 669, 16201], [""meat"", 152, 23924], [""meat"", 107, 26765]]"
285,rev,26785,1839,,,
286,rev,27035,1736,,,
287,rev,27425,807,,,
288,rev,27655,880,,,
289,rev,27674,334,,,
290,conv,27787,1119,44.0,meat,"[[""meat"", 44, 0], [""meat"", 66, 0], [""meat"", 66, 0], [""meat"", 996, 0], [""meat"", 72, 13878], [""meat"", 44, 15110], [""meat"", 44, 23038], [""meat"", 44, 23763], [""meat"", 44, 27787]]"
291,conv,27859,1303,1625.0,veg,"[[""veg"", 210, 0], [""meat"", 67, 0], [""meat"", 1729, 0], [""veg"", 210, 3108], [""meat"", 1729, 9018], [""meat"", 1103, 10634], [""meat"", 1103, 19917], [""veg"", 210, 21470], [""veg"", 1625, 27859]]"
292,rev,28032,1885,,,
293,conv,28077,1253,1701.0,meat,"[[""veg"", 115, 0], [""meat"", 1701, 0], [""veg"", 115, 0], [""meat"", 397, 668], [""veg"", 115, 1967], [""veg"", 115, 7260], [""meat"", 397, 16846], [""meat"", 190, 25083], [""meat"", 1701, 28077]]"
294,conv,28177,1169,200.0,meat,"[[""meat"", 732, 5430], [""veg"", 10, 8450], [""veg"", 10, 11813], [""veg"", 10, 14193], [""veg"", 10, 14609], [""meat"", 1469, 16767], [""veg"", 10, 17612], [""meat"", 1469, 26449], [""meat"", 200, 28177]]"
295,conv,28251,1967,63.0,veg,"[[""meat"", 503, 4600], [""meat"", 503, 5046], [""veg"", 63, 14215], [""meat"", 55, 14917], [""meat"", 55, 16195], [""meat"", 55, 21630], [""meat"", 503, 24352], [""veg"", 1035, 27344], [""veg"", 63, 28251]]"
296,rev,28388,93,,,
297,conv,28410,674,38.0,veg,"[[""meat"", 574, 0], [""meat"", 574, 0], [""meat"", 107, 0], [""veg"", 38, 0], [""veg"", 38, 1894], [""veg"", 38, 4064], [""meat"", 1081, 16547], [""meat"", 107, 24350], [""veg"", 38, 28410]]"
298,conv,28459,335,473.0,veg,"[[""meat"", 1077, 0], [""meat"", 330, 0], [""meat"", 94, 0], [""veg"", 473, 0], [""meat"", 1077, 0], [""veg"", 473, 0], [""meat"", 1077, 156], [""meat"", 330, 12292], [""veg"", 473, 28459]]"
299,conv,28537,1711,1466.0,meat,"[[""veg"", 196, 0], [""meat"", 1466, 0], [""meat"", 101, 3730], [""meat"", 1462, 10059], [""meat"", 1466, 10957], [""meat"", 1466, 15756], [""meat"", 1466, 21683], [""meat"", 1462, 27107], [""meat"", 1466, 28537]]"
300,conv,28643,1173,66.0,meat,"[[""meat"", 347, 17208], [""meat"", 3, 17627], [""meat"", 52, 17841], [""meat"", 3, 18087], [""meat"", 66, 19358], [""meat"", 347, 19863], [""meat"", 3, 20377], [""meat"", 52, 25653], [""meat"", 66, 28643]]"
301,conv,28966,331,261.0,veg,"[[""meat"", 73, 0], [""meat"", 1804, 0], [""meat"", 68, 4487], [""meat"", 73, 12025], [""veg"", 1423, 16997], [""meat"", 259, 18177], [""meat"", 1187, 22929], [""veg"", 1423, 23809], [""veg"", 261, 28966]]"
302,conv,29114,392,840.0,meat,"[[""meat"", 3, 0], [""veg"", 110, 0], [""meat"", 34, 0], [""meat"", 840, 3497], [""meat"", 1343, 12681], [""meat"", 840, 21684], [""meat"", 51, 23842], [""meat"", 51, 26410], [""meat"", 840, 29114]]"
303,rev,29253,1978,,,
304,conv,29342,247,10.0,veg,"[[""veg"", 1440, 6283], [""meat"", 227, 7955], [""meat"", 725, 14694], [""meat"", 284, 17056], [""meat"", 306, 20985], [""veg"", 1440, 22771], [""veg"", 1440, 26664], [""meat"", 725, 28585], [""veg"", 10, 29342]]"
305,rev,29383,1625,,,
306,rev,29437,595,,,
307,conv,29480,912,1306.0,veg,"[[""veg"", 853, 0], [""meat"", 1306, 0], [""meat"", 235, 0], [""veg"", 853, 0], [""meat"", 341, 1799], [""meat"", 466, 4113], [""veg"", 853, 4879], [""meat"", 341, 14152], [""veg"", 1306, 29480]]"
308,rev,29541,701,,,
309,conv,29713,701,28.0,meat,"[[""veg"", 257, 0], [""meat"", 28, 0], [""veg"", 257, 221], [""veg"", 257, 16362], [""veg"", 257, 18042], [""veg"", 156, 19319], [""meat"", 128, 26460], [""veg"", 257, 29541], [""meat"", 28, 29713]]"
310,rev,29780,1777,,,
311,conv,29794,1565,820.0,meat,"[[""veg"", 10, 0], [""veg"", 10, 877], [""veg"", 10, 4957], [""meat"", 820, 5567], [""veg"", 10, 8026], [""veg"", 10, 8802], [""meat"", 1044, 17268], [""meat"", 1044, 21287], [""meat"", 820, 29794]]"
312,conv,30023,1230,10.0,veg,"[[""meat"", 7, 0], [""veg"", 10, 0], [""meat"", 286, 3190], [""veg"", 10, 5751], [""meat"", 7, 5788], [""meat"", 286, 6428], [""veg"", 10, 17100], [""meat"", 7, 25644], [""veg"", 10, 30023]]"
313,conv,30450,1098,625.0,veg,"[[""veg"", 625, 0], [""meat"", 599, 0], [""veg"", 625, 0], [""meat"", 599, 0], [""meat"", 492, 0], [""meat"", 27, 11596], [""veg"", 625, 24165], [""meat"", 27, 24658], [""veg"", 625, 30450]]"
314,rev,30636,1892,,,
315,rev,30685,653,,,
316,conv,30741,295,326.0,meat,"[[""veg"", 10, 5319], [""meat"", 329, 6490], [""meat"", 326, 9429], [""veg"", 583, 10076], [""meat"", 1104, 19783], [""meat"", 1595, 22088], [""veg"", 110, 25631], [""meat"", 512, 25858], [""meat"", 326, 30741]]"
